student,source,pre_n,post_n,pre_mean,post_mean,delta_abs,delta_pct,effect_size,support_score
ninu,steps,155,170,3456.941935483871,3887.358823529412,430.4168880455409,12.450798887522971,0.13513558365112904,2490.778362326748
juanma,steps,336,336,5367.866071428572,5044.488095238095,-323.37797619047615,-6.02433018796265,-0.10438675689138782,2105.7550261682973
zahi,steps,504,504,4474.440476190476,4765.081349206349,290.6408730158728,6.495580275621935,0.11388824173414872,2010.2800919175731
vicky,steps,322,318,3442.913043478261,3162.946540880503,-279.9665025977579,-8.13167509786762,-0.10714531634386329,1809.4317532403663
cande,steps,707,707,3592.2899575671854,3800.077793493635,207.7878359264496,5.784272382822076,0.08353988925628746,1507.4768145816413
tizi,steps,613,614,6894.995106035889,6775.0,-119.99510603588897,-1.7403218449110291,-0.02349601895031085,853.5422415826538
tizi,spotify,146,139,79.37259805936073,85.9023143884892,6.529716329128476,8.226663217254233,0.07642364511444168,36.932022084527325
zahi,spotify,195,201,60.89974239316239,66.19236285240464,5.292620459242251,8.690710750586833,0.09302278784571431,31.670703585967004
vicky,spotify,281,272,74.14824673784105,79.08876280637254,4.940516068531494,6.663024799492845,0.07358133195178057,31.210053642434676
cande,spotify,292,281,74.28517562785389,73.52078896797153,-0.7643866598823621,-1.0289895035204688,-0.015129872524869983,4.85586516572322
zahi,netflix,282,276,4.074468085106383,3.5434782608695654,-0.5309898242368174,-13.032126234532857,-0.15867530314349784,3.3591209968464613
juanma,netflix,26,31,2.076923076923077,1.5806451612903225,-0.4962779156327546,-23.894862604540034,-0.5209865873997744,2.0151081938195636
ninu,spotify,182,180,82.68496126373627,82.22109527777778,-0.46386598595849193,-0.5610040554762078,-0.007235729797052677,2.734212982352794
vicky,netflix,57,85,2.1052631578947367,2.388235294117647,0.2829721362229103,13.441176470588239,0.12820791753947483,1.4043467467670452
tizi,netflix,33,40,1.7878787878787878,1.625,-0.16287878787878785,-9.110169491525422,-0.17229609086294448,0.7010409053324973
cande,netflix,105,107,2.219047619047619,2.2803738317757007,0.061326212728081586,2.7636276122096852,0.03837493091757296,0.32878774385169346
ninu,netflix,183,223,2.010928961748634,2.0,-0.010928961748633892,-0.5434782608695659,-0.007385812340305723,0.06567008945838909
juanma,spotify,299,300,170.58890273132664,170.597981,0.009078268673363254,0.005321722883499231,6.386184854184064e-05,0.058073046094657146
